,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.013753970464070639,0.0029306121078294177,0.5959016482035319,0.003791296692987522,1,1,distance,"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.8665667166416792,0.8695652173913043,0.8993993993993994,0.878510444477461,0.014821360261110932,10
1,0.01842784881591797,0.0050732969391657145,0.07800110181172688,0.0049885332802303,1,2,distance,"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.8920539730134932,0.8905547226386806,0.9069069069069068,0.8965052008530269,0.007380539932601382,1
2,0.014058987299601236,0.0019651654753072294,0.4389034112294515,0.01884717354103056,1,inf,distance,"{'n_neighbors': 1, 'p': inf, 'weights': 'distance'}",0.623688155922039,0.5772113943028486,0.6111111111111112,0.6040035537786662,0.019628387114538213,17
3,0.012587229410807291,0.0015687112043855941,0.5929452578226725,0.005341559278926237,2,1,distance,"{'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.8665667166416792,0.8695652173913043,0.8993993993993994,0.878510444477461,0.014821360261110932,10
4,0.016086101531982422,0.0033865457214181226,0.07786003748575847,0.002839392916077109,2,2,distance,"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.8920539730134932,0.8905547226386806,0.9069069069069068,0.8965052008530269,0.007380539932601382,1
5,0.013459126154581705,0.0028184330371878005,0.4450236161549886,0.017246383671636934,2,inf,distance,"{'n_neighbors': 2, 'p': inf, 'weights': 'distance'}",0.6056971514242878,0.5697151424287856,0.6036036036036037,0.5930052991522258,0.01649079108211961,24
6,0.011786063512166342,0.00021813422378776011,0.6010800997416178,0.009754787661144931,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.8725637181409295,0.8800599700149925,0.8903903903903904,0.8810046928487707,0.007308302894513029,8
7,0.015995264053344727,0.0006001607359538205,0.0809168815612793,0.0012191249566299478,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.8875562218890555,0.8935532233883059,0.9039039039039038,0.8950044497270885,0.006752343801941728,3
8,0.013411124547322592,0.002274360960979223,0.4430223306020101,0.015345409984658099,3,inf,distance,"{'n_neighbors': 3, 'p': inf, 'weights': 'distance'}",0.6191904047976012,0.5937031484257871,0.5840840840840841,0.5989925457691574,0.014812083618949342,20
9,0.011900186538696289,0.00015143878206413453,0.6045658588409424,0.0029383116656500653,4,1,distance,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.8740629685157422,0.8755622188905547,0.8828828828828829,0.8775026900963933,0.0038532924221968906,12
10,0.01779492696126302,0.004735053062751399,0.08493105570475261,0.0020254881815445383,4,2,distance,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.8875562218890555,0.8860569715142429,0.9009009009009009,0.8915046981013998,0.006672251404566471,4
11,0.01320799191792806,0.002030002007978147,0.4497795104980469,0.01731446976075069,4,inf,distance,"{'n_neighbors': 4, 'p': inf, 'weights': 'distance'}",0.6146926536731634,0.5847076461769115,0.5930930930930931,0.5974977976477226,0.01263134290294718,21
12,0.01193698247273763,0.0003362116964650362,0.6043837070465088,0.0042547379947235515,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8620689655172413,0.863568215892054,0.8843843843843844,0.8700071885978934,0.01018462098571233,15
13,0.014983336130777994,0.0018123604387373382,0.09366528193155925,0.008621639812391616,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8875562218890555,0.8800599700149925,0.8948948948948949,0.8875036955996477,0.00605644660981979,5
14,0.013285001118977865,0.002131571279176274,0.44562331835428876,0.015943767474972993,5,inf,distance,"{'n_neighbors': 5, 'p': inf, 'weights': 'distance'}",0.5937031484257871,0.5967016491754122,0.5900900900900901,0.5934982958970965,0.0027030417191946043,23
15,0.01288588841756185,0.0011630887744071058,0.6092870235443115,0.013056444236613741,6,1,distance,"{'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",0.8680659670164917,0.8665667166416792,0.8813813813813813,0.8720046883465175,0.0066585142048429516,13
16,0.014790773391723633,0.0021434277479253647,0.08586867650349934,0.0019518794860250632,6,2,distance,"{'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.8830584707646177,0.8845577211394303,0.8948948948948949,0.8875036955996477,0.005262085023267342,5
17,0.013610760370890299,0.001967152135924314,0.4542272885640462,0.027591921625746137,6,inf,distance,"{'n_neighbors': 6, 'p': inf, 'weights': 'distance'}",0.6011994002998501,0.5922038980509745,0.5960960960960962,0.5964997981489736,0.0036834763189143734,22
18,0.012317816416422525,0.0004025658622605678,0.6072160402933756,0.00884808419969202,7,1,distance,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.863568215892054,0.8695652173913043,0.87987987987988,0.8710044377210795,0.006736522935024349,14
19,0.015027602513631185,0.00233419711197494,0.09012206395467122,0.0019574774433086008,7,2,distance,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.8740629685157422,0.8830584707646177,0.8963963963963963,0.8845059452255853,0.009174852840289795,7
20,0.013220707575480143,0.002082063319880426,0.4455866018931071,0.01637643312590483,7,inf,distance,"{'n_neighbors': 7, 'p': inf, 'weights': 'distance'}",0.6026986506746627,0.5967016491754122,0.6021021021021021,0.6005008006507256,0.0026974224115054977,18
21,0.011820236841837565,0.0001480401266103811,0.6083525021870931,0.004101578802609121,8,1,distance,"{'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.8650674662668666,0.8590704647676162,0.8783783783783784,0.8675054364709537,0.00806873207871707,16
22,0.01623694101969401,0.0033063788740575126,0.08655055363972981,0.0022763007510054702,8,2,distance,"{'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.8770614692653673,0.8815592203898052,0.8843843843843844,0.8810016913465191,0.003015449157882662,9
23,0.014704227447509766,0.0020303838835410227,0.44916653633117676,0.019335144412233923,8,inf,distance,"{'n_neighbors': 8, 'p': inf, 'weights': 'distance'}",0.6041979010494752,0.5997001499250375,0.5945945945945946,0.5994975485230358,0.003923150027945885,19
